,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-04,16.418624877929688,3.319999933242798,25.556955337524414,48.220001220703125,30.096675872802734,18.8125,3.319999933242798,25.556955337524414,48.220001220703125,35.939998626708984,18.815000534057617,3.380000114440918,25.712871551513672,49.75,35.97999954223633,18.528928756713867,3.2899999618530273,25.455337524414062,48.02000045776367,35.54999923706055,18.610713958740234,3.3399999141693115,25.69120216369629,49.369998931884766,35.59000015258789,244627600,16749400,45722740,80371000,28060700
2013-11-05,16.378108978271484,3.3299999237060547,25.44263458251953,50.11000061035156,30.6828670501709,18.766071319580078,3.3299999237060547,25.44263458251953,50.11000061035156,36.63999938964844,18.88892936706543,3.3499999046325684,25.69493865966797,50.18000030517578,36.709999084472656,18.678571701049805,3.2899999618530273,25.340518951416016,47.5099983215332,35.77000045776367,18.735000610351562,3.319999933242798,25.413494110107422,47.790000915527344,35.790000915527344,265213200,14003100,47433127,76835000,51681900
2013-11-06,16.33170509338379,3.319999933242798,25.473270416259766,49.119998931884766,31.972488403320312,18.604286193847656,3.319999933242798,25.473270416259766,49.119998931884766,38.18000030517578,18.7450008392334,3.3499999046325684,25.57912254333496,50.45000076293945,38.220001220703125,18.507143020629883,3.299999952316284,25.289459228515625,48.709999084472656,37.060001373291016,18.719642639160156,3.3299999237060547,25.544254302978516,50.2599983215332,37.2400016784668,223375600,15065300,36652871,67889000,88948800
2013-11-07,16.06740951538086,3.2799999713897705,25.104652404785156,47.560001373291016,31.403047561645508,18.303213119506836,3.2799999713897705,25.104652404785156,47.560001373291016,37.5,18.68535614013672,3.3299999237060547,25.502660751342773,49.869998931884766,38.0099983215332,18.299285888671875,3.2300000190734863,25.09693145751953,47.29999923706055,37.43000030517578,18.556428909301758,3.3299999237060547,25.469783782958984,49.2400016784668,37.959999084472656,262620400,18856200,67435822,97128000,60437400
2013-11-08,16.320419311523438,3.2699999809265137,25.305896759033203,47.529998779296875,31.637523651123047,18.591428756713867,3.2699999809265137,25.305896759033203,47.529998779296875,37.779998779296875,18.611785888671875,3.2899999618530273,25.367416381835938,48.650001525878906,37.779998779296875,18.306785583496094,3.200000047683716,25.118349075317383,47.25,37.34000015258789,18.377857208251953,3.259999990463257,25.124576568603516,47.810001373291016,37.66999816894531,279316800,12072000,51825529,70731000,36737800
2013-11-11,16.2730770111084,3.3399999141693115,25.1704044342041,46.20000076293945,31.478424072265625,18.537500381469727,3.3399999141693115,25.1704044342041,46.20000076293945,37.59000015258789,18.631071090698242,3.3399999141693115,25.303407669067383,47.529998779296875,37.779998779296875,18.37178611755371,3.25,25.105897903442383,45.72999954223633,37.349998474121094,18.57107162475586,3.2899999618530273,25.143505096435547,47.040000915527344,37.689998626708984,227452400,12981500,44670812,80910000,26872500
2013-11-12,16.303180694580078,3.440000057220459,25.200044631958008,46.61000061035156,31.285816192626953,18.571786880493164,3.440000057220459,25.200044631958008,46.61000061035156,37.36000061035156,18.711429595947266,3.450000047683716,25.344003677368164,47.369998931884766,37.599998474121094,18.46428680419922,3.3299999237060547,25.031177520751953,45.83000183105469,37.20000076293945,18.48821449279785,3.3399999141693115,25.098424911499023,46.0,37.380001068115234,204276800,20185800,48906630,68196000,31651600
2013-11-13,16.322616577148438,3.5399999618530273,25.715362548828125,48.709999084472656,31.955734252929688,18.593929290771484,3.5399999618530273,25.715362548828125,48.709999084472656,38.15999984741211,18.65178680419922,3.549999952316284,25.72482681274414,48.7400016784668,38.15999984741211,18.46285629272461,3.4600000381469727,25.06853675842285,46.060001373291016,36.900001525878906,18.5,3.5,25.074764251708984,46.22999954223633,36.97999954223633,197220800,28914000,63412799,79245000,44957600
2013-11-14,16.558696746826172,3.5199999809265137,25.78410530090332,48.9900016784668,31.838516235351562,18.862857818603516,3.5199999809265137,25.78410530090332,48.9900016784668,38.02000045776367,18.902856826782227,3.569999933242798,25.896682739257812,49.56999969482422,38.130001068115234,18.638214111328125,3.4700000286102295,25.662559509277344,48.029998779296875,37.720001220703125,18.671785354614258,3.549999952316284,25.751476287841797,48.70000076293945,37.869998931884766,282419200,15123200,46842923,75117000,46183700
2013-11-15,16.45930290222168,3.5,25.742511749267578,49.0099983215332,31.68776512145996,18.749643325805664,3.5,25.742511749267578,49.0099983215332,37.84000015258789,18.89607048034668,3.5299999713897705,25.85309600830078,49.47999954223633,38.02000045776367,18.731786727905273,3.4800000190734863,25.661563873291016,48.709999084472656,37.720001220703125,18.806428909301758,3.5299999713897705,25.77513885498047,49.11000061035156,37.95000076293945,317920400,11570800,51243355,42453000,50601300
2013-11-18,16.259910583496094,3.4700000286102295,25.692447662353516,45.83000183105469,31.151823043823242,18.522499084472656,3.4700000286102295,25.692447662353516,45.83000183105469,37.20000076293945,18.828214645385742,3.5399999618530273,26.120594024658203,48.84000015258789,37.58000183105469,18.507143020629883,3.4700000286102295,25.63491439819336,45.79999923706055,37.06999969482422,18.749643325805664,3.5299999713897705,25.797056198120117,48.470001220703125,37.349998474121094,244944000,13170900,70651832,85910000,53277500
2013-11-19,16.28875732421875,3.4200000762939453,25.534290313720703,46.36000061035156,30.99994468688965,18.555356979370117,3.4200000762939453,25.534290313720703,46.36000061035156,36.7400016784668,18.692142486572266,3.4800000190734863,25.77215003967285,47.0,37.22999954223633,18.49892807006836,3.359999895095825,25.480741500854492,45.720001220703125,36.66999816894531,18.536785125732422,3.4600000381469727,25.696683883666992,46.2599983215332,36.849998474121094,208938800,20169800,45433661,75602000,44275000
2013-11-20,16.14611053466797,3.4200000762939453,25.462310791015625,46.43000030517578,31.286823272705078,18.39285659790039,3.4200000762939453,25.462310791015625,46.43000030517578,37.08000183105469,18.586429595947266,3.4600000381469727,25.737529754638672,47.54999923706055,37.40999984741211,18.368928909301758,3.4000000953674316,25.413742065429688,46.310001373291016,36.86000061035156,18.543928146362305,3.440000057220459,25.652597427368164,46.61000061035156,36.91999816894531,193916800,9937400,38692487,53933000,32229900
2013-11-21,16.338605880737305,3.369999885559082,25.755212783813477,46.70000076293945,31.556840896606445,18.61214256286621,3.369999885559082,25.755212783813477,46.70000076293945,37.400001525878906,18.614643096923828,3.440000057220459,25.860816955566406,47.459999084472656,37.529998779296875,18.34535789489746,3.3499999046325684,25.554216384887695,46.689998626708984,37.2599983215332,18.485713958740234,3.430000066757202,25.57912254333496,46.9900016784668,37.27000045776367,262026800,13646200,43835693,34886000,23064700
2013-11-22,16.29659080505371,3.3399999141693115,25.700916290283203,46.22999954223633,31.700275421142578,18.564285278320312,3.3399999141693115,25.700916290283203,46.22999954223633,37.56999969482422,18.648571014404297,3.390000104904175,25.80751609802246,47.27000045776367,37.68000030517578,18.51892852783203,3.3299999237060547,25.634416580200195,45.959999084472656,37.33000183105469,18.554285049438477,3.380000114440918,25.739023208618164,47.040000915527344,37.529998779296875,223725600,11315300,50356042,40545000,27982000
2013-11-25,16.420122146606445,3.390000104904175,26.05060577392578,44.81999969482422,31.75933265686035,18.704999923706055,3.390000104904175,26.05060577392578,44.81999969482422,37.63999938964844,18.781070709228516,3.4000000953674316,26.231428146362305,46.650001525878906,37.95000076293945,18.60714340209961,3.3399999141693115,25.778873443603516,44.040000915527344,37.56999969482422,18.60785675048828,3.359999895095825,25.83217430114746,46.36000061035156,37.93000030517578,229311600,11605400,64761837,82565000,30646800
2013-11-26,16.72297477722168,3.450000047683716,26.361440658569336,45.88999938964844,31.514644622802734,19.049999237060547,3.450000047683716,26.361440658569336,45.88999938964844,37.349998474121094,19.147857666015625,3.4800000190734863,26.43840217590332,46.16999816894531,37.650001525878906,18.71428680419922,3.4000000953674316,25.97613525390625,43.54999923706055,37.349998474121094,18.718570709228516,3.4200000762939453,26.117107391357422,44.65999984741211,37.56999969482422,401382800,16989300,91794785,82016000,34465300
2013-11-27,17.116756439208984,3.559999942779541,26.47850227355957,46.4900016784668,31.725582122802734,19.498571395874023,3.559999942779541,26.47850227355957,46.4900016784668,37.599998474121094,19.5,3.5799999237060547,26.600296020507812,46.66999816894531,37.7599983215332,19.049999237060547,3.4600000381469727,26.401042938232422,45.529998779296875,37.4900016784668,19.153928756713867,3.4800000190734863,26.451602935791016,45.970001220703125,37.56999969482422,363448400,19876400,45112461,44993000,26002100
